"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
7.060656480E-1	-5.862131715E-3	1.262190938E-2	5.707359314E-2	5.874582724E-2
7.160656480E-1	-2.926496416E-2	5.449280143E-3	6.665420532E-2	7.299942376E-2
7.260656480E-1	-2.174049616E-3	5.413487554E-3	5.947685242E-2	5.976226496E-2
7.360656480E-1	3.363348544E-3	-2.005457878E-3	5.230236053E-2	5.244874538E-2
7.460656480E-1	-5.682125688E-3	-9.204685688E-3	7.385349274E-2	7.464148431E-2
7.560656480E-1	-2.239232510E-2	-2.081990242E-3	6.188392639E-2	6.584353615E-2
7.660654480E-1	9.229455143E-3	1.246850193E-2	5.948925018E-2	6.147859196E-2
7.760654480E-1	2.109684050E-3	-2.593497932E-2	5.230808258E-2	5.842267901E-2
7.860654480E-1	-4.725873470E-3	-6.430104375E-3	6.188106537E-2	6.239348022E-2
7.960656480E-1	2.450499684E-3	-8.867472410E-3	6.667041779E-2	6.730216656E-2
8.060656480E-1	1.696510985E-2	-1.076860726E-2	5.229759216E-2	5.602513722E-2
8.160656480E-1	-7.089029998E-3	6.529018283E-3	7.383537292E-2	7.446169969E-2
8.260656480E-1	-2.385077626E-2	1.830041409E-3	6.425666809E-2	6.856477210E-2
8.360656480E-1	-2.145823091E-2	4.182532430E-3	8.101654053E-2	8.391441527E-2
8.460656480E-1	-2.819653600E-2	1.147946715E-2	5.947017670E-2	6.680961551E-2
8.560656480E-1	1.341216639E-2	-2.805396914E-3	7.144451141E-2	7.274664714E-2
8.660656480E-1	1.094860584E-2	1.994758844E-3	6.186676025E-2	6.285974115E-2
8.760656480E-1	1.825176179E-2	-1.474575698E-2	6.665611267E-2	7.066541951E-2
8.860658480E-1	2.289607748E-2	1.411587000E-4	5.706882477E-2	6.149065824E-2
8.960658480E-1	-8.536767215E-3	-4.381522536E-3	5.706310272E-2	5.786425344E-2
9.060660810E-1	-8.860174567E-3	-3.992155194E-3	5.705356598E-2	5.787529168E-2
9.160660810E-1	-2.562987804E-2	2.954629064E-2	4.987144470E-2	6.338008311E-2
9.260660810E-1	-2.043874189E-2	1.488086581E-2	6.184959412E-2	6.681732283E-2
9.360658810E-1	-1.031801477E-2	-2.240180969E-3	6.664752960E-2	6.747868583E-2
9.460658810E-1	-2.034418285E-4	1.661388576E-2	6.186771393E-2	6.405994548E-2
9.560658810E-1	4.582934082E-3	-7.370293140E-3	7.144546509E-2	7.197068144E-2
9.660660810E-1	2.543628216E-4	6.634652615E-3	5.469512939E-2	5.509664686E-2
9.760660810E-1	7.762834430E-3	3.879755735E-3	5.230998993E-2	5.302498609E-2
9.860660810E-1	5.538549274E-3	5.704298615E-3	6.668567657E-2	6.715797801E-2
9.960660810E-1	-4.174888134E-3	5.223780870E-3	6.669330597E-2	6.702771545E-2
1.006066081E0	-1.368862391E-2	2.797275782E-3	9.063720703E-2	9.170772309E-2
1.016066181E0	-1.333773136E-2	2.491563559E-3	7.149028778E-2	7.276650475E-2
